"x","y","bio_flux_opt","yymm"
-175.5,87.5,0,"201202"
-174.5,87.5,0,"201202"
-173.5,87.5,0,"201202"
-172.5,87.5,0,"201202"
-171.5,87.5,0,"201202"
-170.5,87.5,0,"201202"
-169.5,87.5,0,"201202"
-168.5,87.5,0,"201202"
-167.5,87.5,0,"201202"
-166.5,87.5,0,"201202"
-165.5,87.5,0,"201202"
-164.5,87.5,0,"201202"
-163.5,87.5,0,"201202"
-162.5,87.5,0,"201202"
-161.5,87.5,0,"201202"
-160.5,87.5,0,"201202"
-159.5,87.5,0,"201202"
-158.5,87.5,0,"201202"
-157.5,87.5,0,"201202"
-156.5,87.5,0,"201202"
-155.5,87.5,0,"201202"
-154.5,87.5,0,"201202"
-153.5,87.5,0,"201202"
-152.5,87.5,0,"201202"
-151.5,87.5,0,"201202"
-150.5,87.5,0,"201202"
-149.5,87.5,0,"201202"
-148.5,87.5,0,"201202"
-147.5,87.5,0,"201202"
-146.5,87.5,0,"201202"
-145.5,87.5,0,"201202"
-144.5,87.5,0,"201202"
-143.5,87.5,0,"201202"
-142.5,87.5,0,"201202"
-141.5,87.5,0,"201202"
-140.5,87.5,0,"201202"
-139.5,87.5,0,"201202"
-138.5,87.5,0,"201202"
-137.5,87.5,0,"201202"
-136.5,87.5,0,"201202"
-135.5,87.5,0,"201202"
-134.5,87.5,0,"201202"
-133.5,87.5,0,"201202"
-132.5,87.5,0,"201202"
-131.5,87.5,0,"201202"
-130.5,87.5,0,"201202"
-129.5,87.5,0,"201202"
-128.5,87.5,0,"201202"
-127.5,87.5,0,"201202"
-126.5,87.5,0,"201202"
-125.5,87.5,0,"201202"
-124.5,87.5,0,"201202"
-123.5,87.5,0,"201202"
-122.5,87.5,0,"201202"
-121.5,87.5,0,"201202"
-120.5,87.5,0,"201202"
-119.5,87.5,0,"201202"
-118.5,87.5,0,"201202"
-117.5,87.5,0,"201202"
-116.5,87.5,0,"201202"
-115.5,87.5,0,"201202"
-114.5,87.5,0,"201202"
-113.5,87.5,0,"201202"
-112.5,87.5,0,"201202"
-111.5,87.5,0,"201202"
-110.5,87.5,0,"201202"
-109.5,87.5,0,"201202"
-108.5,87.5,0,"201202"
-107.5,87.5,0,"201202"
-106.5,87.5,0,"201202"
-105.5,87.5,0,"201202"
-104.5,87.5,0,"201202"
-103.5,87.5,0,"201202"
-102.5,87.5,0,"201202"
-101.5,87.5,0,"201202"
-100.5,87.5,0,"201202"
-99.5,87.5,0,"201202"
-98.5,87.5,0,"201202"
-97.5,87.5,0,"201202"
-96.5,87.5,0,"201202"
-95.5,87.5,0,"201202"
-94.5,87.5,0,"201202"
-93.5,87.5,0,"201202"
-92.5,87.5,0,"201202"
-91.5,87.5,0,"201202"
-90.5,87.5,0,"201202"
-89.5,87.5,0,"201202"
-88.5,87.5,0,"201202"
-87.5,87.5,0,"201202"
-86.5,87.5,0,"201202"
-85.5,87.5,0,"201202"
-84.5,87.5,0,"201202"
-83.5,87.5,0,"201202"
-82.5,87.5,0,"201202"
-81.5,87.5,0,"201202"
-80.5,87.5,0,"201202"
-79.5,87.5,0,"201202"
-78.5,87.5,0,"201202"
-77.5,87.5,0,"201202"
-76.5,87.5,0,"201202"
-75.5,87.5,0,"201202"
-74.5,87.5,0,"201202"
-73.5,87.5,0,"201202"
-72.5,87.5,0,"201202"
-71.5,87.5,0,"201202"
-70.5,87.5,0,"201202"
-69.5,87.5,0,"201202"
-68.5,87.5,0,"201202"
-67.5,87.5,0,"201202"
-66.5,87.5,0,"201202"
-65.5,87.5,0,"201202"
-64.5,87.5,0,"201202"
-63.5,87.5,0,"201202"
-62.5,87.5,0,"201202"
-61.5,87.5,0,"201202"
-60.5,87.5,0,"201202"
-59.5,87.5,0,"201202"
-58.5,87.5,0,"201202"
-57.5,87.5,0,"201202"
-56.5,87.5,0,"201202"
-55.5,87.5,0,"201202"
