"x","y","bio_flux_opt","ocn_flux_opt","fossil_flux_imp","fire_flux_imp","tot"
-85.5,88.5,0,0,3.80422702218258e-11,0,0
-84.5,88.5,0,0,4.21775595551957e-11,0,0
-83.5,88.5,0,0,3.44738095881086e-11,0,0
-82.5,88.5,0,0,0,0,0
-81.5,88.5,0,0,0,0,0
-80.5,88.5,0,0,0,0,0
-79.5,88.5,0,0,0,0,0
-78.5,88.5,0,0,0,0,0
-77.5,88.5,0,0,0,0,0
-76.5,88.5,0,0,0,0,0
-75.5,88.5,0,0,0,0,0
-74.5,88.5,0,0,0,0,0
-73.5,88.5,0,0,0,0,0
-72.5,88.5,0,0,0,0,0
-71.5,88.5,0,0,0,0,0
-70.5,88.5,0,0,0,0,0
-69.5,88.5,0,0,0,0,0
-68.5,88.5,0,0,0,0,0
-67.5,88.5,0,0,0,0,0
-66.5,88.5,0,0,0,0,0
-65.5,88.5,0,0,0,0,0
-64.5,88.5,0,0,0,0,0
-63.5,88.5,0,0,1.57357239252765e-10,0,0
-62.5,88.5,0,0,6.34131001770643e-10,0,0
-61.5,88.5,0,0,4.69199938088814e-10,0,0
-60.5,88.5,0,0,4.857330060342e-10,0,0
-59.5,88.5,0,0,4.566615741183e-10,0,0
-58.5,88.5,0,0,4.23411000178921e-10,0,0
-57.5,88.5,0,0,5.06808042644841e-10,0,0
-56.5,88.5,0,0,4.10940024328384e-10,0,0
-55.5,88.5,0,0,4.64807986539627e-10,0,0
-54.5,88.5,0,0,4.88307520291751e-10,0,0
-53.5,88.5,0,0,4.85373425772305e-10,0,0
-52.5,88.5,0,0,4.62168245545476e-10,0,0
-51.5,88.5,0,0,4.19378129533115e-10,0,0
-50.5,88.5,0,0,4.48472733259412e-10,0,0
-49.5,88.5,0,0,1.54926516469842e-09,0,0
-48.5,88.5,0,0,4.24557568725237e-10,0,0
-47.5,88.5,0,0,4.18165670759183e-10,0,0
-46.5,88.5,0,0,4.51050991423534e-10,0,0
-45.5,88.5,0,0,4.71824110674548e-10,0,0
-44.5,88.5,0,0,4.83957141163132e-10,0,0
-43.5,88.5,0,0,4.89745286842548e-10,0,0
-42.5,88.5,0,0,4.90888646744799e-10,0,0
-41.5,88.5,0,0,4.88707949215783e-10,0,0
-40.5,88.5,0,0,4.84290668502847e-10,0,0
-39.5,88.5,0,0,4.78574449683642e-10,0,0
-38.5,88.5,0,0,4.72366434903056e-10,0,0
-37.5,88.5,0,0,1.19471403728236e-09,0,0
-36.5,88.5,0,0,4.61147543921188e-10,0,0
-35.5,88.5,0,0,4.57213752159414e-10,0,0
-34.5,88.5,0,0,4.54886264110385e-10,0,0
-33.5,88.5,0,0,4.54398298151864e-10,0,0
-32.5,88.5,0,0,4.55764301608595e-10,0,0
-31.5,88.5,0,0,4.58892377493043e-10,0,0
-30.5,88.5,0,0,4.63538909559544e-10,0,0
-29.5,88.5,0,0,4.69294043904279e-10,0,0
-28.5,88.5,0,0,4.7565084150979e-10,0,0
-27.5,88.5,0,0,4.81993806921122e-10,0,0
-26.5,88.5,0,0,4.87576095075909e-10,0,0
-25.5,88.5,0,0,4.91543382326646e-10,0,0
-24.5,88.5,0,0,4.92919516569591e-10,0,0
-23.5,88.5,0,0,4.90540039547347e-10,0,0
-22.5,88.5,0,0,4.8297319001732e-10,0,0
-21.5,88.5,0,0,4.68347291304043e-10,0,0
-20.5,88.5,0,0,4.44040363163193e-10,0,0
-19.5,88.5,0,0,4.05871906180764e-10,0,0
-18.5,88.5,0,0,2.27261806076245e-09,0,0
-17.5,88.5,0,0,5.35302958379198e-10,0,0
-16.5,88.5,0,0,1.40934454287024e-09,0,0
-15.5,88.5,0,0,2.28919460037604e-09,0,0
-14.5,88.5,0,0,4.77967912273445e-10,0,0
-13.5,88.5,0,0,1.60158169951014e-09,0,0
-12.5,88.5,0,0,4.90182228106367e-10,0,0
-11.5,88.5,0,0,4.5946101824494e-10,0,0
-10.5,88.5,0,0,1.43918261430271e-09,0,0
-9.5,88.5,0,0,1.69052759326066e-09,0,0
-8.5,88.5,0,0,4.13536084825008e-10,0,0
-7.5,88.5,0,0,9.46581436404052e-10,0,0
-6.5,88.5,0,0,4.85418668825994e-10,0,0
-5.5,88.5,0,0,4.50263876376057e-10,0,0
-4.5,88.5,0,0,3.39765953487196e-10,0,0
-3.5,88.5,0,0,5.62553751137194e-11,0,0
-2.5,88.5,0,0,0,0,0
